objective,weight,weight_tag,scale_tag,mask_variant,pretrained_run,transfer_run,pretrain_best_iter,pretrain_best_val_loss,pretrain_best_train_loss,transfer_best_iter,transfer_best_val_loss,transfer_best_train_loss,has_pretrain,has_transfer,has_physics_metrics,component_mse,vector_mse,direction_cosine_mean,direction_positive_fraction,radial_alignment_mean,inward_fraction,normalized_torque_abs_mean,relative_magnitude_error_mean,inverse_square_cv
force_law,0.01,w0p01,100k,25,next_token_force_law_100k_w0p01,next_token_force_law_100k_w0p01_pt_force_vector_transfer_mask_25_weight_sweep,5399,1.8289577960968018,2.1784119606018066,649,0.2144775688648224,0.010082865133881569,True,True,True,0.27590797096999303,0.5518159419399862,0.5798713377516647,0.8376753507014028,0.5797671041490774,0.8384268537074149,0.4906366311940738,0.24152930207952547,1.8071829254061509
force_law,0.03,w0p03,100k,25,next_token_force_law_100k_w0p03,next_token_force_law_100k_w0p03_pt_force_vector_transfer_mask_25_weight_sweep,5399,1.976148009300232,2.2381510734558105,99,0.24699896574020386,0.028516868129372597,True,True,True,0.31275308523079826,0.6255061704615966,0.5729455645035191,0.8351703406813628,0.5729381986779837,0.8351703406813628,0.49197194653928816,0.30366420390140886,1.8575507905598085
force_law,0.05,w0p05,100k,25,next_token_force_law_100k_w0p05,next_token_force_law_100k_w0p05_pt_force_vector_transfer_mask_25_weight_sweep,5199,1.856715440750122,2.627194404602051,99,0.23423698544502258,0.02757241763174534,True,True,True,0.3403486734084254,0.6806973468168508,0.4917552557955194,0.7788076152304609,0.49177160787574775,0.779308617234469,0.5024698396199745,0.3067145864617252,1.8512568919971497
force_law,0.1,w0p1,100k,25,next_token_force_law_100k_w0p1,next_token_force_law_100k_w0p1_pt_force_vector_transfer_mask_25_weight_sweep,5399,2.008835554122925,2.4406814575195312,99,0.22304709255695343,0.03608095273375511,True,True,True,0.3571710701233861,0.7143421402467721,0.48308252803665763,0.7843186372745491,0.4831400150700703,0.7845691382765531,0.5146994326886414,0.31963099850028687,1.943788159422449
force_aux,0.01,w0p01,100k,25,next_token_force_aux_100k_w0p01,next_token_force_aux_100k_w0p01_pt_force_vector_transfer_mask_25_weight_sweep,5599,1.8240488767623901,2.0990843772888184,49,0.2936272621154785,0.061994776129722595,True,True,True,0.345014595645413,0.6900291912908261,0.48362755329860097,0.781312625250501,0.4837239123175122,0.781312625250501,0.5184647893218451,0.342231483718796,1.9067240085737753
force_aux,0.03,w0p03,100k,25,next_token_force_aux_100k_w0p03,next_token_force_aux_100k_w0p03_pt_force_vector_transfer_mask_25_weight_sweep,5399,1.8474552631378174,2.2772274017333984,649,0.2363806664943695,0.003523964202031493,True,True,True,0.2965548831037292,0.5931097662074584,0.5483545478893568,0.8226452905811623,0.5484097526513287,0.8203907815631263,0.5045362291515673,0.24944503706416254,1.7994101161333405
force_aux,0.05,w0p05,100k,25,next_token_force_aux_100k_w0p05,next_token_force_aux_100k_w0p05_pt_force_vector_transfer_mask_25_weight_sweep,5399,1.764276385307312,2.169356107711792,99,0.21074874699115753,0.032986950129270554,True,True,True,0.3460629877792106,0.6921259755584211,0.5170076734950579,0.7978456913827655,0.5169922805710048,0.7970941883767535,0.4819004826993548,0.2965378480976382,1.8499654242812205
force_aux,0.1,w0p1,100k,25,next_token_force_aux_100k_w0p1,next_token_force_aux_100k_w0p1_pt_force_vector_transfer_mask_25_weight_sweep,5399,1.7543225288391113,2.339935779571533,1899,0.2737129032611847,0.0007683666190132499,True,True,True,0.36150501769405263,0.7230100353881055,0.484425209818235,0.7878256513026052,0.4844494017026619,0.7873246492985972,0.5242283903495478,0.19832854388441373,1.7744197685315504
scratch,,,100k,25,scratch,force_vector_scratch_mask_25_100k,,,,249,0.37347185611724854,0.019596386700868607,True,True,True,0.5293235333792192,1.0586470667584387,0.21034032422117746,0.625501002004008,0.21021445614277792,0.625751503006012,0.5811616642062629,0.3005360246978161,1.8549325560995318
next_token,,,100k,25,next_token_100k,next_token_100k_pt_force_vector_transfer_mask_25_100k,6099,4.553660869598389,4.851158618927002,199,0.201351135969162,0.0014034479390829802,True,True,True,0.21583025424097077,0.4316605084819416,0.6867479815334153,0.9125751503006012,0.6867474013876723,0.9118236472945892,0.48443913264524896,0.3268233208719801,1.8653880958153448
force_law_default,0.1,,100k,25,next_token_force_law_100k,next_token_force_law_100k_pt_force_vector_transfer_mask_25_100k,5399,2.119040012359619,2.4742414951324463,1049,0.23565302789211273,0.0017469297163188457,True,True,True,0.30924500828048046,0.6184900165609609,0.5644989431047943,0.8266533066132264,0.5644896706512027,0.8266533066132264,0.48830235979219966,0.18037421428140385,1.7995000165647494
force_aux_default,0.1,,100k,25,next_token_force_aux_100k,next_token_force_aux_100k_pt_force_vector_transfer_mask_25_100k,5399,2.087270975112915,2.407081365585327,649,0.2575159966945648,0.002279883250594139,True,True,True,0.3372203972659902,0.6744407945319804,0.5238076378667511,0.8088677354709419,0.5236679038357867,0.8086172344689379,0.5062928435084365,0.1914276093504024,1.766966589631552
